"Neither","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","60570","7477","2762","5165","7867","3629","6532","3530","1819","4584","1419"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","60926","61644","11501","5598","1041","2127","3098","2461","2097","995","4556"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","2186","6010","2661","1663","2589","14257","3185","7567","1627","830","1423"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","7482","4082","1762","3027","4058","4630","2790","1724","6696","1334","2962"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","3845","3083","2460","6247","2468","5516","1816","4926","2060","3889","6670"
