"Neither","Neither","Neither","Neither","Neither","Success","Violation","Success","Success","Success","Success","Success"
"0","60767","62847","62271","31228","2525","15504","4108","5965","1767","2768","14997"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","5757","1685","5720","5056","8273","1394","3568","5234","3712","1947","7926"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Violation","Success","Success"
"0","60352","60839","1154","2333","3737","5978","4540","1253","6906","3292","8382"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Violation","Success","Success"
"0","2530","3313","2052","3289","1103","5101","15379","3581","5005","1872","1333"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","66825","4969","19452","8715","15228","19176","1427","3628","50912","4457","4191"
