"Neither","Neither","Neither","Neither","Success","Success","Success","Neither","Neither","Neither","Success","Neither","Success","Neither","Success"
"0","60385","60248","60438","20735","3233","2473","60305","61160","60568","3747","60900","1767","63582","6653"
"Neither","Neither","Violation","Neither","Neither","Success","Success","Success","Neither","Neither","Success","Success","Success","Success","Success"
"0","60662","60186","61020","62959","6445","7411","5444","9745","62571","13183","34760","2471","33384","22533"
"Neither","Neither","Violation","Neither","Neither","Success","Success","Neither","Neither","Success","Success","Success","Success","Success","Success"
"0","62684","61621","62713","7621","8578","18793","60548","63212","8247","32653","7569","4821","19112","7647"
"Neither","Neither","Neither","Success","Success","Neither","Neither","Success","Success","Success","Success","Neither","Neither","Success","Success"
"0","64911","61707","3778","6180","63858","61600","7725","13275","26724","8860","64339","61999","5995","4361"
"Neither","Neither","Success","Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Violation","Neither","Neither","Neither"
"0","62769","13938","64744","63949","67558","67595","62788","17672","29804","40249","61854","45273","22211","66098"
