"Neither","Neither","Neither","Success","Success","Success","Success","Neither","Neither","Success","Success","Success","Success"
"0","70958","69879","5853","6281","8611","18578","74979","60077","4465","5063","7120","3553"
"Neither","Neither","Success","Success","Neither","Success","Success","Success","Neither","Success","Success","Success","Neither"
"0","64245","15827","8741","67146","5208","8521","3305","70635","10634","6417","4598","74028"
"Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success"
"0","76411","78933","80769","77227","40274","5600","4898","9386","8607","5032","3947","7116"
"Neither","Neither","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Neither","Success"
"0","86018","8021","6790","87597","11225","5418","16228","6544","5215","19848","64537","8776"
"Neither","Neither","Success","Neither","Success","Success","Success","Success","Neither","Success","Neither","Success","Success"
"0","65887","50331","67464","24957","4452","9877","7139","70669","10272","69784","14462","7916"
"Neither","Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Neither","Success","Success"
"0","72850","73905","74736","73826","74836","76447","9476","5474","13982","77673","14356","6621"
"Neither","Neither","Success","Success","Success","Success","Neither","Success","Success","Success","Neither","Success","Neither"
"0","80499","6021","10697","13418","19364","81610","8773","7556","16199","67590","17485","86239"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Success"
"0","86753","8864","14058","9443","9339","7194","9231","12352","91883","7126","15626","57457"
"Neither","Neither","Neither","Success","Success","Success","Success","Neither","Success","Success","Success","Success","Success"
"0","93672","93152","8950","6617","7161","9686","68405","25803","10720","11797","19195","27447"
"Neither","Neither","Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Neither","Neither"
"0","101679","102914","103546","16069","102715","8881","23801","16953","9174","7573","67921","106545"
"Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","108295","14828","110180","8792","15126","15809","12494","17418","27514","8739","9500","9960"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Neither","Success"
"0","113566","38078","17567","12769","12471","8941","7624","60329","17421","34042","61010","12568"
"Neither","Neither","Success","Success","Neither","Neither","Success","Success","Success","Neither","Success","Success","Success"
"0","62214","18171","14508","64531","63032","18599","8571","20127","64355","12153","12577","20590"
"Neither","Neither","Neither","Success","Success","Success","Success","Neither","Success","Success","Success","Neither","Neither"
"0","65862","65506","47798","14224","10794","8759","67831","21793","20604","16968","69303","70048"
"Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Neither","Success"
"0","70237","69930","62605","70687","18864","10379","40680","15245","48370","17606","72018","10563"
"Neither","Neither","Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","74247","75050","73886","13172","74494","15109","20637","16291","16900","22002","9998","19207"
"Neither","Neither","Success","Success","Neither","Success","Success","Success","Success","Neither","Neither","Success","Success"
"0","77310","45400","12856","80143","10924","13013","10049","15000","79661","81683","21533","23070"
"Neither","Neither","Success","Success","Success","Success","Success","Neither","Success","Success","Success","Neither","Success"
"0","80775","30898","30891","23383","48170","9730","84789","18813","15510","15541","83911","15650"
"Neither","Neither","Success","Neither","Success","Success","Success","Success","Neither","Neither","Success","Neither","Success"
"0","86026","31157","86043","14451","14518","36797","16610","87775","68630","22061","88117","20153"
"Neither","Neither","Success","Success","Success","Neither","Neither","Success","Success","Success","Success","Success","Neither"
"0","90741","18020","54146","12838","91563","60002","15365","28752","20804","14431","30870","94883"
"Neither","Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success","Neither","Success"
"0","94806","95725","15939","96384","19808","16328","21574","32548","19898","24103","103773","24503"
"Neither","Neither","Success","Success","Success","Neither","Neither","Success","Neither","Success","Neither","Success","Neither"
"0","104784","15308","16930","28142","100114","106987","26701","106670","51021","260346","24460","112343"
