"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Violation","Violation","Success","Success","Success","Success","Success","Violation","Success"
"0","62092","62729","17864","8154","25628","14217","5223","3870","16497","24626","18708","10930","14388","31098","52471","7884","4257","37583","15085"
"Neither","Neither","Neither","Success","Success","Success","Success","Violation","Violation","Success","Success","Success","Success","Violation","Neither","Success","Neither","Success","Neither","Success"
"0","67015","63194","6057","6227","20288","19641","29784","19364","4843","15745","23720","5167","10357","76611","6271","72758","32546","75949","24793"
"Neither","Neither","Neither","Neither","Success","Success","Neither","Neither","Success","Success","Neither","Violation","Success","Success","Success","Violation","Success","Success","Violation","Success"
"0","78057","61164","63168","17813","10627","61122","62730","9587","11431","66243","40622","4813","5393","22027","24191","20126","35939","6612","47348"
"Neither","Neither","Neither","Violation","Neither","Success","Success","Neither","Success","Success","Neither","Success","Neither","Success","Neither","Violation","Neither","Success","Success","Success"
"0","64771","65848","55154","66571","33519","5893","69579","39482","6438","66322","5625","71480","5325","60274","5964","74909","7235","22203","5991"
"Neither","Neither","Neither","Neither","Neither","Neither","Success","Violation","Success","Success","Neither","Violation","Success","Neither","Neither","Violation","Neither","Neither","Neither","Neither"
"0","72981","69549","83825","71759","71610","43575","14926","6481","8761","73961","21707","38093","70285","71874","31235","75106","75733","75296","75207"
