"Neither","Neither","Success","Success","Success","Neither","Success","Success","Success","Success"
"0","63864","5825","5001","9262","61722","5363","10136","4070","5753"
"Neither","Neither","Neither","Success","Success","Success","Neither","Success","Neither","Neither"
"0","65790","65601","4561","4291","4162","70113","6634","66118","61251"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","63092","70421","5258","7118","23178","8747","4598","7194","5706"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success"
"0","67058","72982","66255","4828","5421","22940","6004","7028","12649"
"Neither","Neither","Neither","Success","Success","Neither","Success","Success","Success","Success"
"0","69375","67623","4572","5893","70034","12917","12231","8227","5408"
