"Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","65121","66815","63506","62574","3292","8043","7479","4229","3665","1692","35412"
"Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success"
"0","68006","69823","64000","67700","66688","2104","6817","6376","9970","3092","6693"
"Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success"
"0","64685","66061","65683","66987","66854","4451","1426","2133","6639","7318","8800"
"Neither","Success","Neither","Neither","Success","Success","Success","Violation","Success","Success","Success","Success"
"0","3827","68920","69085","12787","6353","8071","23211","7216","27503","1807","7668"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success"
"0","72387","71490","73269","3493","4299","8195","9529","44891","8838","2729","6064"
