"Neither","Neither","Neither","Success","Success","Neither","Success","Success","Neither","Success","Success","Neither","Success"
"0","63211","68672","52431","19635","61933","5448","10817","73567","21317","15367","62017","48030"
"Neither","Neither","Success","Success","Neither","Success","Success","Success","Success","Neither","Neither","Success","Success"
"0","75179","7167","51363","75406","17298","17240","22740","11925","66563","72587","8066","28407"
"Neither","Success","Success","Success","Success","Neither","Success","Success","Success","Success","Neither","Success","Success"
"0","25894","25162","20942","25260","66654","34593","9435","36981","18189","79135","61407","17318"
"Neither","Neither","Success","Success","Success","Success","Neither","Success","Success","Success","Success","Success","Success"
"0","61183","34116","19000","10634","4846","62707","8448","46584","5782","14246","38878","18128"
"Neither","Success","Neither","Success","Neither","Neither","Success","Success","Success","Success","Success","Neither","Success"
"0","41892","66288","19103","65205","65828","6092","30147","47751","5971","15131","67703","10508"
