"Neither","Neither","Success","Neither","Success","Success","Success","Neither","Success","Neither","Neither","Success"
"48576","54505","27063","24391","55755","30774","69910","29968","58861","24104","25176","80849"
"Neither","Neither","Violation","Success","Neither","Neither","Neither","Success","Neither","Neither","Success","Success"
"48874","52035","104859","52174","26533","37377","27384","27962","26575","27553","68929","27421"
"Neither","Neither","Neither","Success","Neither","Neither","Success","Neither","Success","Success","Neither","Success"
"56671","57724","27928","30421","29169","29868","92739","59095","63116","62107","31677","32022"
"Neither","Success","Neither","Success","Neither","Neither","Neither","Success","Success","Neither","Success","Neither"
"63399","97162","31971","33001","63227","32826","31609","101202","101765","32956","33145","33521"
"Neither","Neither","Neither","Neither","Success","Neither","Neither","Neither","Neither","Success","Success","Success"
"68263","70045","34469","35196","71659","40913","36355","70917","36849","38103","74357","36893"
"Neither","Neither","Success","Success","Neither","Success","Success","Success","Neither","Success","Success","Neither"
"76172","73277","78849","76569","38303","118972","77831","81708","37792","40420","39791","40451"
"Neither","Neither","Success","Success","Success","Violation","Success","Neither","Success","Neither","Success","Neither"
"82055","81142","85719","81505","41626","165542","87254","41600","42874","43044","86659","84323"
"Neither","Success","Success","Success","Neither","Success","Neither","Success","Neither","Neither","Success","Success"
"92952","88179","129836","87765","43787","88783","44147","135101","44196","45980","93142","46195"
"Neither","Success","Success","Success","Success","Neither","Success","Neither","Neither","Success","Neither","Success"
"89938","91546","91368","91899","45369","46621","91320","50525","47570","47859","92882","142353"
"Neither","Neither","Success","Success","Neither","Neither","Success","Neither","Success","Success","Success","Success"
"96676","96825","97933","99008","47869","49076","99655","48707","48895","100774","51298","101810"
