"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","52505","15146","1723","2045","821","2567","773","3098","1158","2265","5991"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","6036","1584","1562","3158","2124","1058","2255","2378","2040","933","10924"
"Neither","Neither","Success","Success","Violation","Success","Success","Success","Success","Success","Success","Success"
"0","61464","60727","1892","44906","1677","1971","2277","1695","1103","5602","3646"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","63259","61943","9496","1872","4224","2628","1158","4221","1976","4326","1282"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","3038","5200","1304","2584","5427","1359","9122","2312","2756","3019","5064"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","13389","3903","4231","1355","1015","2985","3980","3644","2669","5524","3258"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","63684","64148","2317","3097","1725","22413","3427","1096","2493","3308","1959"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","2287","5208","4175","2964","3887","3094","3396","5369","2331","3204","1365"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success"
"0","61058","60815","64009","13333","2013","2811","2126","3988","1498","2679","19696"
"Neither","Neither","Success","Neither","Success","Success","Success","Success","Success","Success","Success","Success"
"0","64360","3438","64517","4339","3767","16531","1523","2648","5844","1269","2008"
