"Neither","Neither","Success","Success","Neither","Neither","Neither","Neither","Success","Success","Success","Neither"
"58195","54045","57651","86271","23369","24648","24282","51732","54932","27221","29897","25187"
"Neither","Neither","Success","Neither","Neither","Neither","Neither","Success","Success","Success","Neither","Success"
"72663","63517","77258","27184","61119","87818","64954","38456","30243","67654","33466","123090"
"Neither","Neither","Success","Neither","Neither","Success","Success","Success","Success","Success","Neither","Neither"
"81503","72738","70152","31970","29616","62209","62971","31648","30334","121103","37043","32464"
"Neither","Neither","Neither","Success","Success","Success","Neither","Neither","Neither","Success","Neither","Violation"
"80305","78648","36606","99341","65674","101263","32149","32456","32711","34437","34183","154595"
"Neither","Neither","Neither","Success","Neither","Success","Success","Neither","Success","Success","Neither","Success"
"71846","72088","34895","108211","34817","72400","110350","36399","74325","74946","35938","36405"
"Neither","Success","Neither","Success","Neither","Neither","Success","Success","Success","Neither","Violation","Neither"
"77186","77106","75577","79671","75229","39368","78668","39842","38858","38874","166681","83144"
"Neither","Neither","Neither","Success","Success","Violation","Success","Success","Neither","Neither","Neither","Violation"
"85908","40148","40599","40314","83466","170016","137136","43120","41774","42620","42533","176428"
"Neither","Neither","Success","Success","Success","Success","Success","Neither","Neither","Success","Success","Neither"
"89651","43160","45608","44918","90136","141894","136038","46832","45262","141565","92417","45196"
"Neither","Neither","Success","Success","Success","Neither","Success","Neither","Success","Neither","Success","Neither"
"97470","95331","99075","94140","47433","47834","145301","48693","147943","47809","148729","48633"
