"Neither","Neither","Neither","Neither","Neither","Success","Success","Violation","Neither","Success","Neither","Neither","Success","Success","Success"
"0","59513","58839","58351","60276","9595","4624","61163","60998","4776","61164","61045","2286","26435","5925"
"Neither","Neither","Neither","Neither","Neither","Success","Neither","Success","Neither","Success","Success","Success","Success","Neither","Success"
"0","60313","60818","60595","60588","22313","60396","28171","61002","7100","10035","7047","2728","7523","4121"
"Neither","Violation","Neither","Neither","Neither","Neither","Neither","Success","Neither","Neither","Success","Success","Neither","Success","Neither"
"0","62119","60202","62151","62632","21237","62814","5020","60157","60687","19879","3684","62100","24832","9152"
"Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Neither","Neither","Success","Success","Success","Neither","Neither"
"0","60680","63616","64043","60187","61224","7721","5299","62837","16464","16962","28683","3456","60024","64399"
"Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Neither","Success","Neither","Neither","Neither","Neither","Neither"
"0","64131","60624","60324","60906","61198","7517","2982","62839","5513","63597","25093","64430","63608","64509"
"Neither","Neither","Neither","Success","Success","Success","Neither","Neither","Success","Success","Neither","Neither","Neither","Success","Success"
"0","65128","64615","30461","22426","32352","61423","61784","9796","23723","61189","62121","64165","8681","18731"
"Neither","Neither","Neither","Success","Success","Neither","Neither","Success","Success","Neither","Neither","Neither","Success","Success","Success"
"0","63584","63558","27741","28128","65877","65052","8938","20095","60492","60883","60458","10251","9584","29642"
"Neither","Neither","Neither","Success","Neither","Neither","Success","Success","Neither","Neither","Success","Success","Neither","Neither","Success"
"0","62355","61620","35965","62388","63469","10472","26717","63646","63508","45050","4505","64637","21409","6846"
"Neither","Neither","Neither","Neither","Neither","Success","Neither","Neither","Success","Success","Success","Neither","Violation","Neither","Neither"
"0","66546","65966","66346","60223","24721","67284","66990","7841","5707","13260","60005","61137","11998","63174"
"Neither","Neither","Neither","Neither","Neither","Neither","Success","Success","Neither","Success","Success","Neither","Neither","Neither","Neither"
"0","61726","61614","62275","62109","62043","9196","3666","66873","4054","12375","47676","66663","66971","63971"
