"Neither","Neither","Success","Success","Success","Success","Success","Neither","Success","Success","Success","Neither","Success","Success","Success"
"0","60307","5650","21133","2113","3812","5297","60367","4439","4057","20987","60381","2626","6080","3576"
"Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Success","Success","Success"
"0","60695","61383","4355","6007","4317","4118","3296","2253","61815","11321","2939","4189","24214","5707"
"Neither","Neither","Success","Success","Success","Violation","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","60545","19642","20002","5083","11767","4220","12644","4612","4342","4545","7162","33165","8691","4244"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","61976","63316","61717","8102","7186","33601","2695","13047","5674","14917","29255","2453","5436","5328"
"Neither","Neither","Success","Neither","Success","Success","Success","Neither","Success","Success","Success","Violation","Success","Success","Success"
"0","62361","4826","60452","4665","9672","13647","39161","6783","38059","3734","63076","5203","2566","6374"
"Neither","Neither","Neither","Neither","Success","Success","Success","Violation","Success","Success","Success","Success","Success","Neither","Success"
"0","63296","40107","64167","8338","6113","7468","3840","5397","30013","3013","13709","5988","62985","7627"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Neither","Success","Success"
"0","62276","55559","5594","8138","5219","6484","4256","6116","6993","4802","4475","66461","10640","3906"
"Neither","Neither","Success","Violation","Success","Success","Success","Success","Success","Neither","Success","Violation","Success","Success","Success"
"0","61798","51008","9639","8670","17392","9865","6605","17306","63518","9068","3306","15490","7072","15389"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Neither","Success","Success","Neither","Success","Success","Success"
"0","64720","20658","5547","6840","9401","18267","9028","41936","10402","4003","67124","51970","6903","3583"
"Neither","Neither","Success","Success","Success","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Success"
"0","60981","9967","9302","4577","17762","8249","63026","7498","3714","15852","20898","4691","11281","5255"
