"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Neither","Neither","Neither","Success"
"0","74403","12257","43049","4379","31535","5576","3328","9550","61211","13444","61246","9485"
"Neither","Neither","Neither","Neither","Success","Success","Success","Success","Neither","Neither","Success","Success","Success"
"0","61984","60279","64709","26530","5016","6836","16801","65984","66250","12952","6679","29901"
"Neither","Neither","Neither","Neither","Success","Success","Success","Neither","Success","Neither","Success","Success","Success"
"0","66568","67149","69469","17961","8824","5435","70907","5214","71493","12506","5319","7580"
"Neither","Neither","Success","Neither","Neither","Success","Success","Success","Success","Success","Neither","Success","Neither"
"0","73549","34438","72520","74463","4153","38221","21601","4058","8216","75987","22235","63394"
"Neither","Success","Neither","Success","Success","Neither","Success","Neither","Success","Success","Neither","Success","Success"
"0","12854","78787","6679","43250","79075","9220","82323","14391","18333","81034","12962","9167"
"Neither","Neither","Neither","Neither","Success","Neither","Neither","Success","Neither","Success","Neither","Neither","Success"
"0","81772","82890","82979","10076","85631","70197","8116","86010","9504","64873","17516","12461"
"Neither","Neither","Success","Success","Neither","Success","Success","Success","Success","Success","Success","Neither","Success"
"0","61149","15262","36630","60321","47440","10350","4864","5757","10869","14451","62282","8450"
"Neither","Neither","Success","Neither","Success","Success","Neither","Success","Neither","Success","Neither","Success","Success"
"0","63660","17802","63834","10825","41538","64118","8873","64453","6206","66874","16574","17887"
"Neither","Neither","Success","Neither","Neither","Success","Success","Success","Neither","Success","Success","Success","Success"
"0","66502","5422","67146","67636","40550","17477","8507","67325","7852","32490","8471","9765"
"Neither","Neither","Success","Success","Neither","Neither","Neither","Success","Success","Success","Success","Neither","Success"
"0","68994","52176","52076","70871","71099","71016","50057","50805","50124","9922","78274","8102"
