"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","2486","35561","2861","3422","4600","6991","1549","6016","7669","3886","2083"
"Neither","Neither","Neither","Neither","Success","Success","Violation","Success","Success","Success","Success","Success"
"0","65700","67736","69159","66850","3954","12131","3209","6305","3961","3884","5753"
"Neither","Neither","Success","Neither","Neither","Success","Neither","Neither","Success","Success","Violation","Success"
"0","67477","48527","70944","64173","6262","64198","61876","13392","1963","8866","14480"
"Neither","Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","69454","3074","9570","18824","13859","5500","18822","6529","2363","3795","5234"
"Neither","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success","Success"
"0","19604","4804","6866","2061","5377","7091","4900","7480","18977","3390","1939"
